date,Lower,Upper
18/12/2020,1.1,1.3
23/12/2020,1.1,1.4
8/1/2021,1.1,1.4
15/01/2021,1.1,1.3
22/01/2021,0.8,1
29/01/2021,0.7,1
5/2/2021,0.7,0.9
12/2/2021,0.7,0.9
19/02/2021,0.7,0.9
26/02/2021,0.7,0.9
5/3/2021,0.7,0.9
12/3/2021,0.6,0.8
19/03/2021,0.7,0.9
26/03/2021,0.8,1
2/4/2021,0.8,1
9/4/2021,0.8,1
16/04/2021,0.7,1
23/04/2021,0.8,1
30/04/2021,0.8,1.1
7/5/2021,0.8,1
14/05/2021,0.8,1.1
21/05/2021,0.9,1.1
28/05/2021,1,1.1
4/6/2021,1,1.2
11/6/2021,1.2,1.4
18/06/2021,1.2,1.4
25/06/2021,1.2,1.4
2/7/2021,1.1,1.3
9/7/2021,1.2,1.5
16/07/2021,1.2,1.4
23/07/2021,1.2,1.4
30/07/2021,1.1,1.4
6/8/2021,0.8,1.1
13/08/2021,0.8,1
20/08/2021,0.9,1.2
27/08/2021,1,1.1
3/9/2021,0.9,1.1
10/9/2021,0.9,1.1
17/09/2021,0.9,1.1
24/09/2021,0.8,1
1/10/2021,0.8,1.1
8/10/2021,0.9,1.1
15/10/2021,0.9,1.1
22/10/2021,1,1.2
29/10/2021,1.1,1.3
5/11/2021,0.9,1.1
12/11/2021,0.8,1
19/11/2021,0.8,1
26/11/2021,1,1.1
3/12/2021,0.9,1.1
10/12/2021,0.9,1.1
17/12/2021,1.0,1.2
23/12/2021,1.0,1.2
07/01/2022,1.2,1.5
14/01/2022,1.1,1.5
21/01/2022,0.8,1.1
28/01/2022,0.7,0.9
04/02/2022,0.8,1.1
11/02/2022,0.8,1.0
18/02/2022,0.8,1.0
25/02/2022,0.7,1.0
04/03/2022,0.8,1.0
11/03/2022,0.8,1.1
18/03/2022,1.1,1.4
25/03/2022,1.1,1.4
01/04/2022,1.1,1.2
08/04/2022,1.1,1.2
15/04/2022,0.9,1.1
29/04/2022,0.7,0.9
13/05/2022,0.7,0.9
27/05/2022,0.7,0.9
24/06/2022,1.1,1.4
06/07/2022,1.1,1.3
20/07/2022,0.9,1.2
03/08/2022,0.9,1.0
17/08/2022,0.7,0.9
31/08/2022,0.8,1.0
14/09/2022,0.8,1.0
28/09/2022,1.0,1.3
12/10/2022,1.1,1.3
26/10/2022,0.8,1.1
09/11/2022,0.7,0.9
23/11/2022,0.8,1.0
07/12/2022,0.9,1.2
21/12/2022,1.0,1.2
